USD|US DOLLAR|USD|USD|1/100|NYB|+2 BUSINESS DAY|7:2
EUR|EURO|EUR|EUR|1/100|TGT|+2 BUSINESS DAY|7:2
GBP|POUND STERLING|GBP|GBP|1/100|LNB|+2 BUSINESS DAY|7:2
AUD|AUSTRALIAN DOLLAR|AUD|AUD|1/100|SYB|+2 BUSINESS DAY|7:2
CAD|CANADIAN DOLLAR|CAD|CAD|1/100|TRB|+1 BUSINESS DAY|7:2
CHF|SWISS FRANC|CHF|CHF|1/100|ZUB|+2 BUSINESS DAY|7:2
HKD|HONG KONG DOLLAR|HKD|HKD|1/100|HKB|+2 BUSINESS DAY|7:2
JPY|YEN|JPY|JPY|1|TKB|+2 BUSINESS DAY|7:2
SGD|SINGAPORE DOLLAR|SGD|SGD|1/100|SIB|+2 BUSINESS DAY|7:2
SEK|SWEDISH KRONA|SEK|SEK|1/100|STB|+2 BUSINESS DAY|7:2
NZD|NEW ZEALAND DOLLAR|NZD|NZD|1/100|WEB|+2 BUSINESS DAY|7:2
NOK|NORWEGIAN KRONE|NOK|NOK|1/100|OSB|+2 BUSINESS DAY|7:2
ARS|ARGENTINE PESO|ARS|ARS|1/100|BAB|+2 BUSINESS DAY|7:2
BRL|BRAZILIAN REAL|BRL|BRL|1/100|SPB|+2 BUSINESS DAY|7:2
CLP|CHILEAN PESO|CLP|CLP|1|SAB|+2 BUSINESS DAY|7:0
CZK|CZECH KORUNA|CZK|CZK|1/100|PRB|+2 BUSINESS DAY|7:2
DKK|DANISH KRONE|DKK|DKK|1/100|COB|+2 BUSINESS DAY|7:2
KRW|WON|KRW|KRW|100000000|SEB|+2 BUSINESS DAY|7:2
MXN|MEXICAN PESO|MXN|MXN|1/100|MXB|+2 BUSINESS DAY|7:2
MYR|MALAYSIAN RINGGIT|MYR|MYR|1/100|KLB|+2 BUSINESS DAY|7:2
PHP|PHILIPPINE PESO|PHP|PHP|1/100|MNB|+2 BUSINESS DAY|7:2
THB|BAHT|THB|THB|1/100|BKB|+2 BUSINESS DAY|7:2
TWD|NEW TAIWAN DOLLAR|TWD|TWD|1|TPB|+2 BUSINESS DAY|7:2
ZAR|RAND|ZAR|ZAR|1/100|JOB|+2 BUSINESS DAY|7:2
RUB|RUSSIAN RUBLE|RUB|RUB|1/100|MWB|+2 BUSINESS DAY|7:2
CNY|YUAN RENMINBI|CNY|CNY|1/100|BEB|+2 BUSINESS DAY|7:2
BGN|BULGARIAN LEV|BGN|BGN|1/100|SOB|+2 BUSINESS DAY|7:2
EEK|DO NOT USE|EEK|EEK|1/100|TNB|+2 BUSINESS DAY|7:2
HRK|KUNA|HRK|HRK|1/100|ZAB|+2 BUSINESS DAY|7:2
HUF|FORINT|HUF|HUF|1|BDB|+2 BUSINESS DAY|7:2
LTL|DO NOT USE|LTL|LTL|1/100|VNB|+2 BUSINESS DAY|7:2
LVL|DO NOT USE|LVL|LVL|1/100|RGB|+2 BUSINESS DAY|7:2
RON|ROMANIAN LEU|RON|RON|1/100|BCB|+2 BUSINESS DAY|7:2
SIT|DO NOT USE|SIT|SIT|1/10|LBB|+2 BUSINESS DAY|7:2
SKK|DO NOT USE|SKK|SKK|1/10|BTB|+2 BUSINESS DAY|7:2
PLN|ZLOTY|PLN|PLN|1/100|WAB|+2 BUSINESS DAY|7:2
XAU|GOLD||XAU|1/100|LNB|+2 BUSINESS DAY|7:2
INR|INDIAN RUPEE|INR|INR|1/100|BMB|+2 BUSINESS DAY|7:2
EGP|EGYPTIAN POUND|EGP|EGP|1/100|CRB|+2 BUSINESS DAY|7:2
IDR|RUPIAH|IDR|IDR|1|JAB|+2 BUSINESS DAY|7:2
ISK|ICELAND KRONA|ISK|ISK|1|RKB|+2 BUSINESS DAY|7:2
PEN|SOL|PEN|PEN|1/100|LMB|+2 BUSINESS DAY|7:2
PKR|PAKISTAN RUPEE|PKR|PKR|1/100|KAB|+2 BUSINESS DAY|7:2
SAR|SAUDI RIYAL|SAR|SAR|1/100|RIB|+2 BUSINESS DAY|7:2
TRY|TURKISH LIRA|TRY|TRY|1/100|ANB|+2 BUSINESS DAY|7:2
ANG|NETHERLANDS ANTILLEAN GUILDER|ANG|ANG|1/100|AMB|+2 BUSINESS DAY|7:2
BMD|BERMUDIAN DOLLAR|BMD|BMD|1/100|HMB|+2 BUSINESS DAY|7:2
COP|COLOMBIAN PESO|COP|COP|1|BOB|+2 BUSINESS DAY|7:2
KYD|CAYMAN ISLANDS DOLLAR|KYD|KYD|1/100|GTB|+2 BUSINESS DAY|7:2
PAB|BALBOA|PAB|PAB|1/100|PCB|+2 BUSINESS DAY|7:2
UAH|HRYVNIA|UAH|UAH|1/100|KVB|+2 BUSINESS DAY|7:2
TND|TUNISIAN DINAR|TND|TND|1/100|TUB|+2 BUSINESS DAY|7:2
CYP|DO NOT USE|CYP|CYP|1/100|NIB|+2 BUSINESS DAY|7:2
DZD|ALGERIAN DINAR|DZD|DZD|1/100|AIB|+2 BUSINESS DAY|7:2
KWD|KUWAITI DINAR|KWD|KWD|1/100|KUB|+2 BUSINESS DAY|7:2
MUR|MAURITIUS RUPEE|MUR|MUR|1/100|PLB|+2 BUSINESS DAY|7:2
AED|UAE DIRHAM|AED|AED|1/100|DBB|+2 BUSINESS DAY|7:2
