src_system,sub_system,data_cat,data_frq,record_type,counterparty_short_name,counterparty_full_name,address_line_0,address_line_1,address_line_2,address_line_3,city,country,postal_code,fax_number,telex_number,industry,is_broker,is_custodian,is_issuer,is_bank,is_subsidiary,is_corporate,primary_contact,primary_number,other_contact,other_number,subsidiary_level,counterparty_grandparent,counterparty_parent,resident_y_n,mas_industry_code,country_of_incorporation,cels_code,industry_group,src_id,processing_date,m_label
gmp,cis,sta,dly,D,FINLAND,FINLAND,,,,,,Finland,,,,,N,N,Y,N,N,N,,,,,Subsidiary,FINLAND,FINLAND,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,GREECE,GREECE,,,,,,Greece,,,,,N,N,Y,N,N,N,,,,,Subsidiary,GREECE,GREECE,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,HUNGARY,HUNGARY,,,,,,Hungary,,,,,N,N,Y,N,N,N,,,,,Subsidiary,HUNGARY,HUNGARY,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,IRELAND,IRELAND,,,,,,Ireland,,,,,N,N,Y,N,N,N,,,,,Subsidiary,IRELAND,IRELAND,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,UKRAINE,UKRAINE,,,,,,Ukraine,,,,,N,N,Y,N,N,N,,,,,Subsidiary,UKRAINE,UKRAINE,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,CITY KIEV,CITY OF KIEV,,,,,,Ukraine,,,,,N,N,Y,N,N,N,,,,,Subsidiary,CITY KIEV,CITY KIEV,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,ARGENTINA,REPUBLIC OF ARGENTINA,,,,,,Argentina,,,,,N,N,Y,N,N,N,,,,,Subsidiary,ARGENTINA,ARGENTINA,,,ARGENTINA,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,BULGARIA,REPUBLIC OF BULGARIA,,,,,,Bulgaria,,,,,N,N,Y,N,N,N,,,,,Subsidiary,BULGARIA,BULGARIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,BRAZIL,FEDERAL REPUBLIC OF BRAZIL,,,,,,Brazil,,,,,N,N,Y,N,N,N,,,,,Subsidiary,BRAZIL,BRAZIL,,,,,,gmp_cis_sta_dly_counterparty,20251201,
gmp,cis,sta,dly,D,TUNISIA,CENTRAL BANK OF TUNISIA,,,,,,Tunisia,,,,,N,N,Y,N,N,N,,,,,Subsidiary,TUNISIA,TUNISIA,,,,,,gmp_cis_sta_dly_counterparty,20251201,
