record_type|counterparty_name|country|isin
D|64690|180 MEDICAL INC*|SG|0000000003000005712
D|25966|1MDB ENERGY LTD*|TW|0000000003100000160
D|5856|21ST CT FOX AMERICA*|SG|0000000003000004074
D|18763|21VIANET GRP INC*|SG|0000000003000003851
D|11012|2I RETE GAS|SG|0000000003000004045
D|8693|3 DEGREES ASSET MGT PL*|SG|0000000000600040291
D|80437|3 W PTR FD I LP*|SG|0000000003000004333
D|22596|361 DEGREES INTL*|SG|0000000003000004453
D|10782|3D SYSTEMS CORP*|SG|0000000003000003866
D|4349|3M CO*|SG|0000000003000003669
D|57313|7-ELEVEN INC*|HK|0000000003100000041
D|57313|7-ELEVEN INC*|SG|0000000003000005388
D|76960|A.P. MOLLER-MAERSK*|SG|0000000000100145909
D|49613|A.S. ASSC ENGRG*|TH|0000000003100800580
D|27604|A2 MILK CO LTD*|SG|0000000000100201001
D|74030|A4JP OCTOBALL TMK*|JP|0000000000100000170
D|6496|AAC TECH HLDGS INC*|SG|0000000000100159332
D|22477|AAI LTD*|SG|0000000000100187781
D|43865|AAREIT*|SG|0000000001300128036
D|10345|ABB FINANCE BV*|SG|0000000000100155972
D|14330|ABB INTL FINANCE LTD*|SG|0000000000100150125
D|14031|ABBOTT LAB*|SG|0000000000100118302
D|8140|ABBVIE INC*|TW|0000000000100000111
D|8140|ABBVIE INC*|HK|0000000000100004209
D|8140|ABBVIE INC*|SG|0000000000100164083
D|21112|ABCAM PLC*|SG|0000000000100183360
D|13901|ABERCROMBIE & FITCH CO*|SG|0000000000100165171
D|9110|ABERDEEN ASSET MGT PLC*|SG|0000000000100162136
D|24422|ABG SUKUK LTD*|SG|0000000000100192958
D|15567|ABJA INVT CO PL*|SG|0000000000100163340
D|6370|ABM INVTS SDN BHD*|SG|0000000000100160758
D|1721|ABN AMRO BK-AMS(NEW)|MY|0000000000100028208
D|30724|ABN AMRO GRP-AMS|SG|0000000000100144308
D|22480|ABQ FIN LTD*|TW|0000000000100000090
D|22480|ABQ FIN LTD*|SG|0000000000100187785
D|60804|ABRDN PLC*|SG|0000000001900352488
D|25830|ABU DHABI CRUDE OIL*|SG|0000000000100196058
D|83984|ABU DHABI FUTURE EN*|SG|0000000000100255535
D|22965|ABU DHABI NTL ENGY*|TW|0000000000100000068
D|22965|ABU DHABI NTL ENGY*|HK|0000000000100003882
D|22965|ABU DHABI NTL ENGY*|SG|0000000000100131611
D|66198|ABU DHABI PORTS CO*|SG|0000000000100227967
D|83352|ACADIA HEALTHCARE*|SG|0000000000100254587
D|68475|ACCENT CAP PLC*|SG|0000000000100231264
D|79204|ACCENTURE PLC*|SG|0000000000100249779
D|9890|ACER INC*|SG|0000000000100149538
D|33695|ACETRECORP|MY|0000000000100062835
D|5156|ACMA LTD*|SG|0000000000100032808
D|5948|ACTIS INDIA FD 2 LP*|SG|0000000000100161110
D|8728|ACTIVISION BLIZZARD INC*|SG|0000000000100151988
D|24145|ACWA PWR MGT&INVT 1*|SG|0000000000100192406
D|76076|ADANI ELEC MUM LTD*|MY|0000000000100216055
D|77677|ADANI GREEN ENER UP*|SG|0000000000100247458
D|71500|ADANI PORTS&SPEC EZ*|SG|0000000000100181547
D|43322|ADANI R E/ KSP/ WSM*|SG|0000000000100211012
D|71602|ADANI TRANS STEP-ON*|SG|0000000000100237296
D|12880|ADCB FIN (KY) LTD*|TW|0000000000100000067
D|12880|ADCB FIN (KY) LTD*|HK|0000000000100003476
D|12880|ADCB FIN (KY) LTD*|SG|0000000000100170817
D|79533|ADDX PL*|SG|0000000000100232901
D|19568|ADECCO INTL FIN SVC*|SG|0000000000100177342
D|13090|ADIB CAPITAL INVEST 1 LT*|SG|0000000000100160318
D|9267|ADIDAS AG*|SG|0000000000100115649
D|28385|ADOBE INC*|SG|0000000000100193578
D|39181|ADV CASH MULTI-BLD*|AU|0000000000200000149
D|28142|ADV INFO SVC PCL*|SG|0000000000100202550
D|28142|ADV INFO SVC PCL*|TH|0000000003100017547
